layer,x,y,voltage
M4,5.000,5.000,0.9500000000000001
M4,5.000,14.990,0.9500000000000001
M4,5.000,24.980,0.9499999999999998
M4,5.000,34.970,0.9500000000000004
M4,5.000,44.960,0.9499999999999998
M4,5.000,54.950,0.9500000000000002
M4,5.000,64.940,0.9499999999999998
M4,5.000,74.930,0.9500000000000004
M4,5.000,84.920,0.9499999999999998
M4,5.000,94.910,0.9500000000000001
M4,5.000,104.900,0.9499999999999998
M4,5.000,114.890,0.9500000000000004
M4,14.990,5.000,0.9499999999999998
M4,14.990,14.990,0.9500000000000001
M4,14.990,24.980,0.9499999999999996
M4,14.990,34.970,0.9500000000000001
M4,14.990,44.960,0.9499999999999996
M4,14.990,54.950,0.9499999999999998
M4,14.990,64.940,0.9499999999999996
M4,14.990,74.930,0.9499999999999998
M4,14.990,84.920,0.9499999999999996
M4,14.990,94.910,0.9499999999999998
M4,14.990,104.900,0.9499999999999996
M4,14.990,114.890,0.9500000000000001
M4,24.980,5.000,0.9499999999999996
M4,24.980,14.990,0.95
M4,24.980,24.980,0.9499999999999997
M4,24.980,34.970,0.95
M4,24.980,44.960,0.9499999999999996
M4,24.980,54.950,0.9499999999999997
M4,24.980,64.940,0.9499999999999997
M4,24.980,74.930,0.9499999999999997
M4,24.980,84.920,0.9499999999999996
M4,24.980,94.910,0.9499999999999997
M4,24.980,104.900,0.9499999999999997
M4,24.980,114.890,0.9499999999999997
M4,34.970,5.000,0.9499999999999997
M4,34.970,14.990,0.95
M4,34.970,24.980,0.95
M4,34.970,34.970,0.95
M4,34.970,44.960,0.9499999999999997
M4,34.970,54.950,0.9499999999999997
M4,34.970,64.940,0.95
M4,34.970,74.930,0.9499999999999997
M4,34.970,84.920,0.9499999999999997
M4,34.970,94.910,0.9499999999999997
M4,34.970,104.900,0.95
M4,34.970,114.890,0.9499999999999997
M4,44.960,5.000,0.9500000000000001
M4,44.960,14.990,0.9500000000000004
M4,44.960,24.980,0.9500000000000003
M4,44.960,34.970,0.9500000000000003
M4,44.960,44.960,0.9500000000000003
M4,44.960,54.950,0.9500000000000004
M4,44.960,64.940,0.9500000000000003
M4,44.960,74.930,0.9500000000000003
M4,44.960,84.920,0.9500000000000003
M4,44.960,94.910,0.9500000000000004
M4,44.960,104.900,0.9500000000000003
M4,44.960,114.890,0.9500000000000001
M4,54.950,5.000,0.9499999999999998
M4,54.950,14.990,0.9499999999999998
M4,54.950,24.980,0.9499999999999998
M4,54.950,34.970,0.95
M4,54.950,44.960,0.9499999999999998
M4,54.950,54.950,0.9499999999999998
M4,54.950,64.940,0.9499999999999998
M4,54.950,74.930,0.95
M4,54.950,84.920,0.95
M4,54.950,94.910,0.95
M4,54.950,104.900,0.95
M4,54.950,114.890,0.95
M4,64.940,5.000,0.95
M4,64.940,14.990,0.9499999999999998
M4,64.940,24.980,0.9500000000000002
M4,64.940,34.970,0.95
M4,64.940,44.960,0.95
M4,64.940,54.950,0.9499999999999998
M4,64.940,64.940,0.95
M4,64.940,74.930,0.95
M4,64.940,84.920,0.95
M4,64.940,94.910,0.9499999999999998
M4,64.940,104.900,0.95
M4,64.940,114.890,0.95
M4,74.930,5.000,0.9499999999999997
M4,74.930,14.990,0.9499999999999996
M4,74.930,24.980,0.95
M4,74.930,34.970,0.95
M4,74.930,44.960,0.9499999999999997
M4,74.930,54.950,0.9499999999999994
M4,74.930,64.940,0.9499999999999997
M4,74.930,74.930,0.95
M4,74.930,84.920,0.9499999999999997
M4,74.930,94.910,0.9499999999999994
M4,74.930,104.900,0.9499999999999997
M4,74.930,114.890,0.9499999999999997
M4,84.920,5.000,0.9499999999999997
M4,84.920,14.990,0.9499999999999997
M4,84.920,24.980,0.9499999999999997
M4,84.920,34.970,0.9500000000000001
M4,84.920,44.960,0.9499999999999997
M4,84.920,54.950,0.9499999999999997
M4,84.920,64.940,0.9499999999999997
M4,84.920,74.930,0.9500000000000001
M4,84.920,84.920,0.9499999999999997
M4,84.920,94.910,0.9499999999999997
M4,84.920,104.900,0.9499999999999997
M4,84.920,114.890,0.9499999999999997
M4,94.910,5.000,0.95
M4,94.910,14.990,0.95
M4,94.910,24.980,0.95
M4,94.910,34.970,0.95
M4,94.910,44.960,0.95
M4,94.910,54.950,0.95
M4,94.910,64.940,0.9500000000000001
M4,94.910,74.930,0.95
M4,94.910,84.920,0.9500000000000001
M4,94.910,94.910,0.95
M4,94.910,104.900,0.9500000000000001
M4,94.910,114.890,0.9500000000000001
M4,104.900,5.000,0.9500000000000001
M4,104.900,14.990,0.9500000000000001
